song_name,artist,url,cluster
Kiss Me Thru The Phone,Sammie,spotify:track:2q4rjDy9WhaN3o9MvDbO21,9
Uptown Funk (feat. Bruno Mars),Mark Ronson,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,9
Uptown Funk (feat. Bruno Mars),Bruno Mars,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,9
Blank Space,Taylor Swift,spotify:track:1p80LdxRV74UKvL8gnD7ky,9
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,3
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Christina Aguilera,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,3
Roar,Katy Perry,spotify:track:6F5c58TMEs1byxUstkzVeM,3
Ymca,Village People,spotify:track:7Cp69rNBwU0gaFT8zxExlE,9
You Belong With Me,Taylor Swift,spotify:track:3GCL1PydwsLodcpv0Ll1ch,9
All These Things That I've Done,The Killers,spotify:track:0kYUrLVQOfx21xuXu7OGrT,0
I Knew You Were Trouble.,Taylor Swift,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,3
Cake By The Ocean,DNCE,spotify:track:76hfruVvmfQbw0eYn1nmeC,3
Call Me Maybe,Carly Rae Jepsen,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,9
22,Taylor Swift,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,9
California Gurls,Katy Perry,spotify:track:6tS3XVuOyu10897O3ae7bi,9
California Gurls,Snoop Dogg,spotify:track:6tS3XVuOyu10897O3ae7bi,9
Welcome To New York,Taylor Swift,spotify:track:6qnM0XXPZOINWA778uNqQ9,9
Our Song,Taylor Swift,spotify:track:15DeqWWQB4dcEWzJg15VrN,9
Love Story,Taylor Swift,spotify:track:1vrd6UOGamcKNGnSHJQlSt,9
Hey Stephen,Taylor Swift,spotify:track:4WXzzCof26KJLTK5kK53dS,9
Style,Taylor Swift,spotify:track:1fo2ctLqj3zBhRQKOXprol,9
Shake It Off,Taylor Swift,spotify:track:5xTtaWoae3wi06K5WfVUUH,9
Mean,Taylor Swift,spotify:track:5yEPktRqvIhko5QFF3aBhQ,9
Gorgeous,Taylor Swift,spotify:track:0CLnkxpa3M4eA3HeGaERat,0
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,spotify:track:7zMcNqs55Mxer82bvZFkpg,9
All of Me,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a,2
Let Her Go,Passenger,spotify:track:6GmUVqe73u5YRfUUynZK6I,2
Stay With Me,Sam Smith,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,2
The A Team,Ed Sheeran,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,2
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,spotify:track:1jYiIOC5d6soxkJP81fxq2,9
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Justin Bieber,spotify:track:1jYiIOC5d6soxkJP81fxq2,9
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Quavo,spotify:track:1jYiIOC5d6soxkJP81fxq2,9
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Chance the Rapper,spotify:track:1jYiIOC5d6soxkJP81fxq2,9
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Lil Wayne,spotify:track:1jYiIOC5d6soxkJP81fxq2,9
Mirrors,Justin Timberlake,spotify:track:2JZKXgq5zsokN01KWyiY6n,3
Firework,Katy Perry,spotify:track:4lCv7b86sLynZbXhfScfm2,9
Perfect,Ed Sheeran,spotify:track:0tgVpDi06FyKpA1z0VMD4v,4
What Do You Mean?,Justin Bieber,spotify:track:4B0JvthVoAAuygILe3n4Bs,3
Sorry Not Sorry,Demi Lovato,spotify:track:3Du2K5dLzmduCNp6uwuaL0,8
Stronger (What Doesn't Kill You),Kelly Clarkson,spotify:track:6D60klaHqbCl9ySc8VcRss,9
In Case You Didn't Know,Brett Young,spotify:track:2dWgzqawzDkBL8QfZw92Ub,0
Singles You Up,Jordan Davis,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,9
Craving You,Thomas Rhett,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,3
Craving You,Maren Morris,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,3
All On Me,Devin Dawson,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,0
Light It Up,Luke Bryan,spotify:track:6znSbsDDFdBZaiucjUGaWy,3
Unforgettable,Thomas Rhett,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,9
I'll Name the Dogs,Blake Shelton,spotify:track:2n5ZD87XQ2yvIxGjoYbUmZ,9
Greatest Love Story,LANCO,spotify:track:0kdiUZDcLIFw0Buo9r0Q4z,0
You Broke Up with Me,Walker Hayes,spotify:track:6UsoV6X96Rox9mfxoz7SFy,9
Kiss Somebody,Morgan Evans,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,9
Like I Loved You,Brett Young,spotify:track:3T6MAweakkNrMYs8jZIWtg,9
The Long Way,Brett Eldredge,spotify:track:1KTLLe980WR4RLKg74Ud6e,0
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,9
Meant to Be (feat. Florida Georgia Line),Florida Georgia Line,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,9
Getting Over You,Jackie Lee,spotify:track:4oeGQb7zAVNRkpjjoNHK5K,0
Marry Me,Thomas Rhett,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,9
What Ifs (feat. Lauren Alaina),Kane Brown,spotify:track:7zVCrzzEJU7u24sbJPXA5W,9
What Ifs (feat. Lauren Alaina),Lauren Alaina,spotify:track:7zVCrzzEJU7u24sbJPXA5W,9
Do I Make You Wanna,Billy Currington,spotify:track:3I7krC8kr0gFR7P6vInR1I,9
Happens Like That,Granger Smith,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,0
We Were That Song,Brett Kissel,spotify:track:6OUdBkpAQtKyZ74cKukZ9W,0
Down,Jay Sean,spotify:track:7LP4Es66zdY7CyjepqmvAg,0
Down,Lil Wayne,spotify:track:7LP4Es66zdY7CyjepqmvAg,0
Hey Ya!,Outkast,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,3
Never Forget You,Zara Larsson,spotify:track:6WLS56xiRrXjSm9RSdL3zD,3
Never Forget You,MNEK,spotify:track:6WLS56xiRrXjSm9RSdL3zD,3
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,3
I Took A Pill In Ibiza - Seeb Remix,Seeb,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,3
Wrecking Ball,Miley Cyrus,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,9
Shower,Becky G,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,9
It Ain’t Me (with Selena Gomez),Kygo,spotify:track:12GEpg2XOPyqk03JZEZnJs,9
It Ain’t Me (with Selena Gomez),Selena Gomez,spotify:track:12GEpg2XOPyqk03JZEZnJs,9
Trumpets,Jason Derulo,spotify:track:5KONnBIQ9LqCxyeSPin26k,8
Coming Home,Diddy - Dirty Money,spotify:track:6Iocm6VMu6bVNYwiDoyQFW,9
Coming Home,Skylar Grey,spotify:track:6Iocm6VMu6bVNYwiDoyQFW,9
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,spotify:track:5knuzwU65gJK7IF5yJsuaW,3
Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,spotify:track:5knuzwU65gJK7IF5yJsuaW,3
Rockabye (feat. Sean Paul & Anne-Marie),Anne-Marie,spotify:track:5knuzwU65gJK7IF5yJsuaW,3
Baby,Justin Bieber,spotify:track:6epn3r7S14KUqlReYr77hA,3
Baby,Ludacris,spotify:track:6epn3r7S14KUqlReYr77hA,3
Umbrella,Rihanna,spotify:track:49FYlytm3dAAraYgpoJZux,9
Umbrella,JAY-Z,spotify:track:49FYlytm3dAAraYgpoJZux,9
Replay,Iyaz,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,9
Dynamite,Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId,9
I Gotta Feeling,Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,1
Some Nights,fun.,spotify:track:67WTwafOMgegV6ABnBQxcE,9
Escape (The Pina Colada Song),Rupert Holmes,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,9
Ain't No Mountain High Enough,Marvin Gaye,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,0
Ain't No Mountain High Enough,Tammi Terrell,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,0
Brighter Than The Sun,Colbie Caillat,spotify:track:5YTtTbqxUzJHD3CpbNHerP,9
Sweet Caroline - Single Version,Neil Diamond,spotify:track:6l7tK5SsMlN8a9ccgeIkpS,2
Love Shack,The B-52's,spotify:track:4W4wYHtsrgDiivRASVOINL,1
Walking On Sunshine,Katrina & The Waves,spotify:track:05wIrZSwuaVWhcv5FfqeH0,9
Riptide,Vance Joy,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,9
Ho Hey,The Lumineers,spotify:track:2nXM8IVqKtyO6JKsLlXWAy,2
Don't Stop Believin',Journey,spotify:track:3HRQtRUYnnuZY7fE900XtJ,9
All Star,Smash Mouth,spotify:track:22c2pt75xtnDddA5Zlm0yy,0
Single Ladies (Put a Ring on It),Beyoncé,spotify:track:5R9a4t5t5O0IsznsrKPVro,8
Ridin' Solo,Jason Derulo,spotify:track:7ksYJ95P5vP87A0GH34CIk,9
What Makes You Beautiful,One Direction,spotify:track:03oZejWqXLbKhhM4iTgShq,0
Call Me Maybe,Carly Rae Jepsen,spotify:track:20I6sIOMTCkB6w7ryavxtO,9
Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:6RgGppm2SSX5p246UqfdEi,0
Livin' On A Prayer,Bon Jovi,spotify:track:3X7abqSXC4xrxuC1ykpWcY,0
Have You Ever Seen The Rain,Creedence Clearwater Revival,spotify:track:2LawezPeJhN4AWuSB0GtAU,9
September,"Earth, Wind & Fire",spotify:track:5e3l460eVGMNqQgFc9Rv7q,0
Ice Ice Baby,Vanilla Ice,spotify:track:66AiuTr5v9tw6B8gXau2aU,9
Say Something,A Great Big World,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,4
Say Something,Christina Aguilera,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,4
Life is a Highway,Rascal Flatts,spotify:track:2Fs18NaCDuluPG1DHGw1XG,9
Just the Way You Are,Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,9
Jack & Diane,John Mellencamp,spotify:track:43btz2xjMKpcmjkuRsvxyg,9
Free Fallin',Tom Petty,spotify:track:7woZGXjtaYwuvSoU1zToB3,2
Home,Phillip Phillips,spotify:track:4rsW3WCZBGwhHfJWuHRwyT,0
Chicken Fried,Zac Brown Band,spotify:track:4dGJf1SER1T6ooX46vwzRB,0
Love Story,Taylor Swift,spotify:track:0kN3oXYWWAk1uC0y2WoyOE,9
Wagon Wheel,Darius Rucker,spotify:track:3xdjjKMcMOFgo1eQrfbogM,9
Take on Me,a-ha,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,3
Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,9
Timber (feat. Ke$ha),Kesha,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,9
Song of the South,Alabama,spotify:track:4uUwD0uYzIDjKMKQglzmD2,9
Dixieland Delight - Single Edit,Alabama,spotify:track:4swEkkLocrQ569W1lYIbdX,2
"Hey, Soul Sister",Train,spotify:track:7lJSxSUUlrZ7CxiyO3X0vq,3
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,spotify:track:4356Typ82hUiFAynbLYbPn,3
DJ Got Us Fallin' In Love (feat. Pitbull),Pitbull,spotify:track:4356Typ82hUiFAynbLYbPn,3
Girl on Fire,Alicia Keys,spotify:track:4esOae7i4rqTbAu9o5Pxco,9
Count on Me,Bruno Mars,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,2
Marry You,Bruno Mars,spotify:track:22PMfvdz35fFKYnJyMn077,9
Locked out of Heaven,Bruno Mars,spotify:track:3w3y8KPTfNeOKPiqUTakBh,9
Versace on the Floor,Bruno Mars,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,9
Grenade,Bruno Mars,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,3
The Lazy Song,Bruno Mars,spotify:track:1ExfPZEiahqhLyajhybFeS,3
Riptide,Vance Joy,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,9
Say You Won't Let Go,James Arthur,spotify:track:5uCax9HTNlzGybIStD3vDh,9
I'm Yours,Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,9
Let Me Take You Out,Bryan J,spotify:track:4tM7IvirymOPAk74Us27kD,9
Let Me Take You Out,Travis Porter,spotify:track:4tM7IvirymOPAk74Us27kD,9
Replay,Iyaz,spotify:track:4E5P1XyAFtrjpiIxkydly4,9
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,spotify:track:1Q1jlFs004vwB0DOznii3K,9
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Yung Joc,spotify:track:1Q1jlFs004vwB0DOznii3K,9
Yeah! (feat. Lil Jon & Ludacris),USHER,spotify:track:5rb9QrpfcKFHM1EUbSIurX,9
Yeah! (feat. Lil Jon & Ludacris),Lil Jon,spotify:track:5rb9QrpfcKFHM1EUbSIurX,9
Yeah! (feat. Lil Jon & Ludacris),Ludacris,spotify:track:5rb9QrpfcKFHM1EUbSIurX,9
Down,Jay Sean,spotify:track:6ND2f7SUjYNpLqL0WPcNT1,0
Down,Lil Wayne,spotify:track:6ND2f7SUjYNpLqL0WPcNT1,0
Party In The U.S.A.,Miley Cyrus,spotify:track:3E7dfMvvCLUddWissuqMwr,3
Ridin' Solo,Jason Derulo,spotify:track:6OEolOOk9Gh9bqkdpfIOl0,9
Forever,Chris Brown,spotify:track:4X3FiBn7cd88I3MVtph9By,0
Just Dance,Lady Gaga,spotify:track:6HkjpGIOHv4y0IBAxUbE5z,3
Just Dance,Colby O'Donis,spotify:track:6HkjpGIOHv4y0IBAxUbE5z,3
TiK ToK,Kesha,spotify:track:5OMwQFBcte0aWFJFqrr5oj,3
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,spotify:track:6JV2JOEocMgcZxYSZelKcc,9
My House,Flo Rida,spotify:track:6Knv6wdA0luoMUuuoYi2i1,3
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",The Soggy Bottom Boys,spotify:track:5AhDb4oM6f4YmHPXW123Fg,2
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",Dan Tyminski,spotify:track:5AhDb4oM6f4YmHPXW123Fg,2
"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",Gillian Welch,spotify:track:0x5EMnC2M9pDTAAStksrDt,2
"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",Alison Krauss,spotify:track:0x5EMnC2M9pDTAAStksrDt,2
Shut Up and Dance,WALK THE MOON,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,9
It's A Great Day To Be Alive,Travis Tritt,spotify:track:3oW6SWwGqiZSPTiAp7ZQoH,9
Don't Stop Believin',Journey,spotify:track:77NNZQSqzLNqh2A9JhLRkg,9
I Want You Back,The Jackson 5,spotify:track:0PGwM5vdr5fMejx0IIAYXj,0
Piano Man,Billy Joel,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,4
Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:7e89621JPkKaeDSTQ3avtg,9
Sunday Candy,Nico Segal,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,9
I Need A Dollar,Aloe Blacc,spotify:track:5OA2EQqiP7r7Zcl6nw8ICW,3
This Is What You Came For,Calvin Harris,spotify:track:0azC730Exh71aQlOt9Zj3y,3
This Is What You Came For,Rihanna,spotify:track:0azC730Exh71aQlOt9Zj3y,3
California Girls - Remix/Remastered 2001,The Beach Boys,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,9
Elvira,The Oak Ridge Boys,spotify:track:0mG66FLhO0iZ6XCAGdjpax,9
Jai Ho,A.R. Rahman,spotify:track:4i3MgUew8ynhf49Qwr4IP4,0
Jai Ho,Sukhwinder Singh,spotify:track:4i3MgUew8ynhf49Qwr4IP4,0
Jai Ho,Tanvi Shah,spotify:track:4i3MgUew8ynhf49Qwr4IP4,0
Jai Ho,Mahalakshmi Iyer,spotify:track:4i3MgUew8ynhf49Qwr4IP4,0
Wagon Wheel,Old Crow Medicine Show,spotify:track:359krpyCKcFF8SFvqWES9L,2
My Love (feat. T.I.),Justin Timberlake,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,1
My Love (feat. T.I.),T.I.,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,1
Love So Soft,Kelly Clarkson,spotify:track:16QN8cBubEq706vNtPpOME,9
Just To See You Smile,Tim McGraw,spotify:track:28efjJXBm1CuCmqle5HK2w,9
Fire Burning,Sean Kingston,spotify:track:2oENJa1T33GJ0w8dC167G4,9
Every Breath You Take,The Police,spotify:track:16fzReMJmcLlBccnZCTZNS,2
Shout,The Isley Brothers,spotify:track:7lX0IsKQ5ubVvowy0sGLBP,1
If I Die Young,The Band Perry,spotify:track:4u26EevCNXMhlvE1xFBJwX,9
Eenie Meenie,Sean Kingston,spotify:track:4vVTI94F9uJ8lHNDWKv0i2,9
Eenie Meenie,Justin Bieber,spotify:track:4vVTI94F9uJ8lHNDWKv0i2,9
Boom Boom Pow,Black Eyed Peas,spotify:track:3oDFtOhcN08qeDPAK6MEQG,9
Waiting On the World to Change,John Mayer,spotify:track:5xP3GDhXolpbFplyOOmgQI,0
Send Me on My Way,Rusted Root,spotify:track:6hs3SDnbO3f6VQuPO4KBEb,9
Halo,Beyoncé,spotify:track:4JehYebiI9JE8sR8MisGVb,3
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,spotify:track:2y5aJvzXhHPA94U5GFAcXe,9
I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift,spotify:track:2y5aJvzXhHPA94U5GFAcXe,9
The A Team,Ed Sheeran,spotify:track:1XpYodsD36XN7ygcdF7mJJ,2
Classic,MKTO,spotify:track:6FE2iI43OZnszFLuLtvvmg,9
We Are Young (feat. Janelle Monáe),fun.,spotify:track:7a86XRg84qjasly9f6bPSD,9
We Are Young (feat. Janelle Monáe),Janelle Monáe,spotify:track:7a86XRg84qjasly9f6bPSD,9
Glad You Came,The Wanted,spotify:track:3AGOgQzp0YcPH41u9p7dOp,3
Titanium (feat. Sia),David Guetta,spotify:track:77TT8Xvx637TpzV8kKGkUw,3
Titanium (feat. Sia),Sia,spotify:track:77TT8Xvx637TpzV8kKGkUw,3
Live Your Life - Radio Edit,Headhunterz,spotify:track:1Pofof4ZYVI6GDM0IFGvBk,3
Live Your Life - Radio Edit,Crystal Lake,spotify:track:1Pofof4ZYVI6GDM0IFGvBk,3
rockstar,Post Malone,spotify:track:29VZKgZvAjFRxxBnctjqOn,3
rockstar,21 Savage,spotify:track:29VZKgZvAjFRxxBnctjqOn,3
Nothin' on You (feat. Bruno Mars),B.o.B,spotify:track:59dLtGBS26x7kc0rHbaPrq,9
Nothin' on You (feat. Bruno Mars),Bruno Mars,spotify:track:59dLtGBS26x7kc0rHbaPrq,9
Stay With Me,Sam Smith,spotify:track:7IHOIqZUUInxjVkko181PB,2
Beauty And A Beat,Justin Bieber,spotify:track:190jyVPHYjAqEaOGmMzdyk,9
Beauty And A Beat,Nicki Minaj,spotify:track:190jyVPHYjAqEaOGmMzdyk,9
Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,9
Feel This Moment (feat. Christina Aguilera),Christina Aguilera,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,9
Just Give Me a Reason (feat. Nate Ruess),P!nk,spotify:track:4VC5nFbYO4avKksJ9jN4pY,0
Just Give Me a Reason (feat. Nate Ruess),Nate Ruess,spotify:track:4VC5nFbYO4avKksJ9jN4pY,0
Empire State of Mind (Part II) Broken Down,Alicia Keys,spotify:track:5sra5UY6sD658OabHL3QtI,2
A Thousand Miles,Vanessa Carlton,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,9
Drift Away,Dobie Gray,spotify:track:3DEUviTtgRz6r3MdrUx0OL,2
Summer Of '69,Bryan Adams,spotify:track:0GONea6G2XdnHWjNZd6zt3,9
Jessie's Girl,Rick Springfield,spotify:track:0TF3F5Lw5apoD1zvR8LikO,9
Take It All Back 2.0,Judah & the Lion,spotify:track:2w7O4XCRoIJrwF1NqKL9TM,0
Chasing Cars,Snow Patrol,spotify:track:11bD1JtSjlIgKgZG2134DZ,0
Not Over You,Gavin DeGraw,spotify:track:6j7hih15xG2cdYwIJnQXsq,9
How to Save a Life,The Fray,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,9
Hey There Delilah,Plain White T's,spotify:track:4RCWB3V8V0dignt99LZ8vH,2
She Will Be Loved,Maroon 5,spotify:track:5s5t0OFg9lIlBFaCI14K1i,3
Keep Your Head Up,Andy Grammer,spotify:track:7MapZTlRqFfUteNcghsTwf,0
Safe And Sound,Capital Cities,spotify:track:2Oj5BXOY01EDuJhVYNlEoq,0
Manic Monday,The Bangles,spotify:track:5KYoPa5akZxiCn38xelbqI,9
Apologize,OneRepublic,spotify:track:1NrJYpdAi7uosDRPmSYrsG,9
Africa,TOTO,spotify:track:2374M0fQpWi3dLnB54qaLX,9
Say Hey (I Love You),Michael Franti & Spearhead,spotify:track:0nnxf8p851ZR49KFnGWVsB,3
Say Hey (I Love You),Cherine Tanya Anderson,spotify:track:0nnxf8p851ZR49KFnGWVsB,3
What Lovers Do (feat. SZA),Maroon 5,spotify:track:4nYsmWkuTaowTMy4gskmBw,3
What Lovers Do (feat. SZA),SZA,spotify:track:4nYsmWkuTaowTMy4gskmBw,3
Paris,The Chainsmokers,spotify:track:15vzANxN8G9wWfwAJLLMCg,9
Love Me Now,John Legend,spotify:track:6hdkw1wzhIRYPlYDUtCY5m,9
Love Me Harder,Ariana Grande,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,3
Love Me Harder,The Weeknd,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,3
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,spotify:track:2l8w0zZVn4AZNuzrht7MRT,9
As Long As You Love Me,Justin Bieber,spotify:track:0pwYLVXVknPSGUQb39cePC,3
As Long As You Love Me,Big Sean,spotify:track:0pwYLVXVknPSGUQb39cePC,3
Drag Me Down,One Direction,spotify:track:2K87XMYnUMqLcX3zvtAF4G,3
Friends (with BloodPop®),Justin Bieber,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,9
Friends (with BloodPop®),BloodPop®,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,9
Love Yourself,Justin Bieber,spotify:track:50kpGaPAhYJ3sGmk6vplg0,8
Sorry,Justin Bieber,spotify:track:09CtPGIpYB4BrO8qb1RGsF,3
Purpose,Justin Bieber,spotify:track:2IjyFRCRn8x1bEquOM3vxg,2
Get Used To It,Justin Bieber,spotify:track:4AMnUGvZUVJgDuY7rOPzUZ,3
Heartbreaker,Justin Bieber,spotify:track:2GCKWEsbb0Xo1oodTOKVi1,3
Somebody To Love,Justin Bieber,spotify:track:3rLIv187BhjyweFe89SgLn,9
Home To Mama,Justin Bieber,spotify:track:1qXDjWPzxa02VClFJmu6nx,2
